time,BatC1,BatC2
1565891568.533,13.62,2.36
1565891574.533,889.52,876.31
1565891590.1330001,455.93,458.24
1565891594.933,13.63,2.14
1565891600.933,889.53,875.94
1565891616.533,455.93,458.22
1565891621.333,13.7,2.61
1565891627.333,889.68,876.39
1565891644.1330001,455.9,458.2
1565891648.933,13.68,2.35
1565891654.933,889.53,876.2
1565891670.533,455.93,458.25
1565891675.333,13.55,2.24
1565891681.333,889.23,876.09
1565891696.933,455.89,458.24
1565891701.733,13.58,2.56
1565891707.733,889.26,876.25
1565891724.533,455.9,458.21
1565891728.1330001,13.62,2.25
1565891734.1330001,889.34,875.92
1565891750.933,456.08,458.24
1565891755.733,13.61,2.54
1565891761.733,889.37,876.31
1565891777.333,455.93,458.23
1565891782.1330001,13.64,2.39
1565891788.1330001,889.44,876.17
1565891804.933,455.91,458.21
1565891808.533,13.65,2.31
1565891814.533,889.37,876.03
1565891831.333,455.91,458.22
1565891836.1330001,13.57,2.15
1565891842.1330001,889.41,875.93
1565891857.733,455.95,458.25
1565891862.533,13.53,2.45
1565891868.533,889.36,876.27
1565891885.333,455.9,458.24
1565891888.933,13.6,2.44
1565891894.933,889.33,876.23
1565891911.733,455.94,458.21
1565891916.533,13.54,2.43
1565891922.533,889.3,876.25
1565891938.1330001,455.97,458.26
1565891942.933,13.58,2.78
1565891948.933,889.33,876.41
